CONNECTION HANDLER 2025-01-21 21:19:36.608100 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:36.718105 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:36.758829 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:36.825087 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.536118 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.629623 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.668288 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.769104 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.769104 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.869918 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.869918 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.970158 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:19:39.970667 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:39.989734 COLOR: green, VALUE: gs 
Player None 2025-01-21 21:19:44.319153 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:19:44.398894 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.398894 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.419471 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.426991 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.456677 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.456677 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:19:44.607612 COLOR: green, VALUE: gs 
Player None 2025-01-21 21:19:44.607612 False False 
CONNECTION HANDLER 2025-01-21 21:19:44.607612 COLOR: green, VALUE: gs 
Player None 2025-01-21 21:19:44.634197 CLICKED, PLAYABLE=2 
CONNECTION HANDLER 2025-01-21 21:20:10.482315 COLOR: green, VALUE: gs 
CONNECTION HANDLER 2025-01-21 21:21:47.882775 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:47.973629 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:48.017338 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:48.117668 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.376346 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.494270 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.514875 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.605182 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.605182 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.705980 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.705980 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.806707 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:52.806707 COLOR: None, VALUE: None 
CONNECTION HANDLER 2025-01-21 21:21:52.832308 COLOR: red, VALUE: rs 
Player None 2025-01-21 21:21:56.964117 CLICKED, PLAYABLE=1 
CONNECTION HANDLER 2025-01-21 21:21:57.029373 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.029373 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.047934 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.055969 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.086206 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.086206 COLOR: red, VALUE: rs 
CONNECTION HANDLER 2025-01-21 21:21:57.236593 COLOR: red, VALUE: rs 
Player None 2025-01-21 21:21:57.236593 False False 
